X;Y;objectid;numero_estacion;nombre_estacion;coordenada_x_estacion;coordenada_y_estacion;ubicacion_estacion;zona;troncal_estacion;numero_vagones_estacion;numero_accesos_estacion;biciestacion_estacion;capacidad_biciestacion_estacion;tipo_estacion;biciparqueadero_estacion;latitud_estacion;longitud_estacion;globalid;created_user;created_date;last_edited_user;last_edited_date;codigo_nodo_estacion;componente_wifi;componente_aplificacion;log_replica;id_trazado_troncal
-741.646.061.787.565;463.317.191.000.658;121;9116;AV. 39;10.009.783.111;10.033.944.912;Avenida 39;A;Caracas;3;2;0;0;4;0;462.689.711;-7.406.869.106;{08E91FE5-B06D-42D7-BC1A-E71D3C65DAF5};;;editorTroncal;2023/12/14 21:39:51+00;5001;Valor SI al campo;;;TZ009
-741.392.401.904.401;456.957.145.498.919;122;9117;Calle 45 - American School Way;10.010.695.372;10.038.981.432;CL 45 - CL 42A;A;Caracas;3;2;0;0;4;0;463.145.168;-7.406.786.884;{B30EAA23-4E9C-4FA9-A2B2-B3DD171F677A};;;editorTroncal;2023/12/14 21:42:19+00;8000;Valor SI al campo;;;TZ014
-740.993.984.146.057;458.296.368.349.343;123;9118;Marly;10.011.915.198;10.045.732.678;CL 51 - CL 49;A;Caracas;3;2;0;0;4;0;463.755.688;-7.406.676.939;{97103412-19BE-41CE-95A1-23DBEAA6BD70};;;editorTroncal;2023/12/14 21:46:14+00;9105;Valor SI al campo;;;TZ012
-740.914.817.444.897;469.665.459.943.687;124;9119;Calle 57;10.012.966.186;1.005.173.159;CL 57 - CL 54;A;Caracas;3;2;0;0;4;0;464.298.174;-740.658.221;{2C99DD9E-CDF5-404D-A308-862E8F38F0D9};;;editorTroncal;2023/12/14 21:39:51+00;4101;Valor SI al campo;;;TZ005
-74.173.058.452.396;462.938.130.206.542;125;9120;Calle 63;10.014.031.673;10.057.727.318;CL 63 - CL 60;A;Caracas;3;2;0;0;4;0;464.840.372;-7.406.486.173;{F5D6839F-4E24-41DA-9CDB-E6695E1AC7AF};;;editorTroncal;2023/12/14 21:39:51+00;5000;Valor SI al campo;;;TZ009
-740.684.014.294.093;46.025.797.484.377;126;9121;Flores – Areandina;10.016.073.567;10.064.917.631;CL 69  - CL 67;A;Caracas;2;2;0;0;4;0;465.490.596;-7.406.302.132;{F9FE2D46-3B0E-4573-B201-518759A3B60E};;;editorTroncal;2024/01/02 14:36:55+00;14005;Valor SI al campo;;;TZ015
-740.942.788.928.034;474.681.506.387.591;127;9122;Calle 72;10.017.130.642;10.068.603.211;CL 72 - CL 70A;A;Caracas;3;2;0;0;4;0;465.823.884;-7.406.206.854;{FE62F830-742F-43FE-8689-225325CA6CF8};;;editorTroncal;2023/12/06 19:01:36+00;3000;Valor SI al campo;;;TZ003
-740.747.265.572.573;47.213.621.215.039;128;9123;Calle 76 - San Felipe;10.018.027.451;10.073.901.883;CL 76 - CL 74;A;Caracas;3;2;0;0;4;0;466.303.046;-7.406.126.016;{2A589BA2-1BC9-412B-A19D-F9CCC1C1608A};;;editorTroncal;2023/12/14 20:59:49+00;3005;Valor SI al campo;;;TZ003
-741.246.952.499.068;457.096.376.034.115;129;10000;Portal 20 de Julio;9.978.360.595;9.966.292.544;Kra 5 a Cl 33 Sur;L;Cr 7-10;0;0;1;216;1;1;456.571.811;-7.409.700.839;{79BCF4D9-3955-4B51-8220-7ED32D4BA0D3};;;editorTroncal;2023/12/14 21:46:14+00;9004;Valor SI al campo;;;TZ012
-740.670.659.762.404;467.654.190.668.667;130;10001;Country Sur;997.655.965;9.972.591.614;Kra 10- CL 28 Sur;L;Cr 7-10;2;2;0;0;4;0;457.141.439;-7.409.863.149;{A4FD2EFA-6A3D-4929-B2B7-A6FF0F2B40CF};;;TECNICA;2023/08/15 22:43:40+00;3014;Valor SI al campo;;;TZ003
-740.673.095.387.839;460.464.285.849.769;131;10002;AV. 1 Mayo;9.982.024.918;9.978.698.573;AV. 1 Mayo con KR 7;L;Cr 7-10;3;2;0;0;4;0;457.693.711;-7.409.370.652;{18CF8D0E-B271-4272-8498-9B1F1474DAFF};;;editorTroncal;2023/12/14 21:42:19+00;6111;Valor SI al campo;;;TZ016
